timestamp,open,high,low,close,volume,previous_close,tr1,tr2,tr3,true_range,atr_14,future_close,future_return,target,log_return
2017-08-19 08:00:00,4033.47,4082.25,3850.0,3957.6,77.256042,4033.47,232.25,48.7800000000002,183.4699999999998,232.25,161.68785714285715,4106.53,0.03763139276329084,1,-0.018989266726684727
2017-08-19 12:00:00,3945.12,4100.0,3928.89,3972.05,47.515578,3957.6,171.11000000000013,142.4000000000001,28.710000000000036,171.11000000000013,167.57642857142858,4125.0,0.038506564620284185,1,0.0036445532891524065
2017-08-19 16:00:00,4036.19,4103.92,3953.4,4076.12,25.925056,3972.05,150.51999999999998,131.8699999999999,18.65000000000009,150.51999999999998,167.46571428571426,4164.6,0.02170691736259003,0,0.025863221334664007
2017-08-19 20:00:00,4088.71,4149.99,4051.47,4139.98,9.35056,4076.12,98.51999999999998,73.86999999999989,24.65000000000009,98.51999999999998,163.64785714285708,4086.29,-0.012968661684355868,0,0.015545401352501195
2017-08-20 00:00:00,4120.98,4139.98,4044.0,4094.62,6.611283,4139.98,95.97999999999956,0.0,95.97999999999956,95.97999999999956,159.49642857142845,4084.76,-0.002408037864319442,0,-0.011017040001266768
2017-08-20 04:00:00,4094.62,4156.56,4081.19,4155.87,28.60391,4094.62,75.37000000000035,61.94000000000051,13.429999999999836,75.37000000000035,156.94214285714284,4043.63,-0.027007582046599095,1,0.014847875764339238
2017-08-20 08:00:00,4155.87,4211.08,4032.62,4106.53,36.019943,4155.87,178.46000000000004,55.210000000000036,123.25,178.46000000000004,154.97428571428568,4023.11,-0.020313987721993904,0,-0.011943403008032798
2017-08-20 12:00:00,4106.53,4125.43,4063.35,4125.0,29.113266,4106.53,62.08000000000038,18.900000000000546,43.179999999999836,62.08000000000038,151.82357142857146,4022.0,-0.024969696969696968,0,0.004487630123925173
2017-08-20 16:00:00,4125.0,4185.94,4091.59,4164.6,169.995517,4125.0,94.34999999999945,60.9399999999996,33.409999999999854,94.34999999999945,150.58642857142854,4027.05,-0.033028382077510486,1,0.009554212804811711
2017-08-20 20:00:00,4161.59,4171.62,4069.13,4086.29,196.739103,4164.6,102.48999999999978,7.019999999999527,95.47000000000025,102.48999999999978,147.43499999999992,4016.0,-0.017201422317065104,0,-0.018982764656806782
2017-08-21 00:00:00,4069.13,4119.62,4039.0,4084.76,220.838143,4086.29,80.61999999999989,33.32999999999993,47.289999999999964,80.61999999999989,133.04714285714275,3862.39,-0.05443893888502638,1,-0.00037449287860950024
2017-08-21 04:00:00,4079.26,4104.68,3953.4,4043.63,222.575129,4084.76,151.2800000000002,19.920000000000073,131.36000000000013,151.2800000000002,129.7307142857142,3798.08,-0.06072514052967264,1,-0.010120171654328823
2017-08-21 08:00:00,4043.63,4088.12,4000.01,4023.11,78.878314,4043.63,88.10999999999967,44.48999999999978,43.61999999999989,88.10999999999967,128.8521428571428,3866.48,-0.03893256709361666,1,-0.005087568028846046
2017-08-21 12:00:00,4023.11,4023.11,3911.79,4022.0,43.762796,4023.11,111.32000000000016,0.0,111.32000000000016,111.32000000000016,120.88999999999997,3858.23,-0.040718547986076575,1,-0.00027594402240449924
2017-08-21 16:00:00,4005.99,4042.11,3918.8,4027.05,24.46693,4022.0,123.30999999999995,20.110000000000127,103.19999999999982,123.30999999999995,113.1085714285714,3984.24,-0.0106306104965174,0,0.001254806632489342
2017-08-21 20:00:00,4027.05,4070.49,3950.0,4016.0,101.221748,4027.05,120.48999999999978,43.4399999999996,77.05000000000018,120.48999999999978,109.49285714285709,4040.0,0.00597609561752988,0,-0.0027477155935214646
2017-08-22 00:00:00,4016.0,4016.0,3688.97,3862.39,114.685346,4016.0,327.0300000000002,0.0,327.0300000000002,327.0300000000002,122.10071428571425,4100.41,0.061625055988649514,1,-0.039000219535498974
2017-08-22 04:00:00,3863.0,3868.57,3400.0,3798.08,167.221519,3862.39,468.57000000000016,6.180000000000291,462.3899999999999,468.57000000000016,148.53285714285713,4074.88,0.0728789283006151,1,-0.01679048696792576
2017-08-22 08:00:00,3798.08,3920.31,3750.08,3866.48,221.731236,3798.08,170.23000000000002,122.23000000000002,48.0,170.23000000000002,153.83642857142857,4237.99,0.09608481099087536,1,0.017848856530820145
2017-08-22 12:00:00,3866.48,3990.12,3786.81,3858.23,179.358421,3866.48,203.30999999999995,123.63999999999987,79.67000000000007,203.30999999999995,162.97499999999997,4197.05,0.08781747070547898,1,-0.002136003328727021
2017-08-22 16:00:00,3858.23,4104.82,3853.47,3984.24,159.535655,3858.23,251.3499999999999,246.5899999999997,4.760000000000218,251.3499999999999,168.18142857142854,4117.07,0.033338855089050844,1,0.032138049783696894
2017-08-22 20:00:00,3984.5,4061.54,3944.03,4040.0,124.152681,3984.24,117.50999999999976,77.30000000000018,40.20999999999958,117.50999999999976,172.1407142857142,4114.01,0.018319306930693124,0,0.013898113101265456
2017-08-23 00:00:00,4040.0,4127.99,4013.89,4100.41,159.658384,4040.0,114.09999999999991,87.98999999999978,26.110000000000127,114.09999999999991,173.55142857142852,4113.58,0.0032118739345577815,0,0.014842276737536712
2017-08-23 04:00:00,4084.54,4115.87,4035.32,4074.88,141.839603,4100.41,80.54999999999973,15.460000000000036,65.08999999999969,80.54999999999973,171.98428571428568,4153.32,0.019249646615360355,0,-0.006245670304126593
2017-08-23 08:00:00,4081.63,4242.32,4057.0,4237.99,135.024022,4074.88,185.3199999999997,167.4399999999996,17.88000000000011,185.3199999999997,179.46285714285708,4202.0,-0.008492233346468439,0,0.03924780183326806
2017-08-23 12:00:00,4205.98,4265.8,4150.65,4197.05,237.360569,4237.99,115.15000000000055,27.8100000000004,87.34000000000015,115.15000000000055,176.8821428571428,4222.0,0.0059446516005289,0,-0.00970720268786112
2017-08-23 16:00:00,4226.94,4259.58,4103.51,4117.07,174.637585,4197.05,156.0699999999997,62.529999999999745,93.53999999999996,156.0699999999997,181.73642857142855,4216.07,0.024046227049819412,0,-0.019240152236803493
2017-08-23 20:00:00,4136.48,4178.65,4069.8,4114.01,152.616402,4117.07,108.84999999999945,61.57999999999993,47.26999999999953,108.84999999999945,181.55999999999992,4316.01,0.04910051263852056,1,-0.0007435233629050978
2017-08-24 00:00:00,4147.0,4204.55,4085.01,4113.58,123.52015,4114.01,119.53999999999996,90.53999999999996,29.0,119.53999999999996,181.2907142857142,4312.69,0.04840309414184231,1,-0.00010452635592974258
2017-08-24 04:00:00,4113.58,4177.64,4090.39,4153.32,123.17946,4113.58,87.25000000000045,64.0600000000004,23.190000000000055,87.25000000000045,178.91642857142853,4329.0,0.04229869116754796,1,0.009614318816933797
2017-08-24 08:00:00,4153.8,4250.94,4150.0,4202.0,171.486488,4153.32,100.9399999999996,97.61999999999989,3.319999999999709,100.9399999999996,162.76714285714277,4361.27,0.03790337934317002,1,0.011652588009637473
2017-08-24 12:00:00,4211.78,4250.9,4136.33,4222.0,146.997342,4202.0,114.56999999999971,48.899999999999636,65.67000000000007,114.56999999999971,137.48142857142847,4394.36,0.04082425390810035,1,0.004748347003320228
